Gradler;Stinkender Mensch
Fahrgsteinumma;Fahrgestellnummer
guad;gut
koa;kein
gscheid;richtig
damischer;verrückt
dei;dein
Emissionswert;Emmisionswert
Koan;keinen
Maß;ein Liter Bier
;
diam, manchmal;ab und an
derwischen;abbekommen
Brotzeit;Abendbrot
auf die Nacht;abends
ausfragen;abfragen
haudig;abgeschlafft
abschauen;abgucken
abfieseln;abknabbern
abbusseln;abküssen
Fechser;Ableger
vom Bein/Fleisch fallen;abmagern
sich fretten;abmühen
abbrocken;abpflücken
zusperren;abschließen
abbeuteln;abschüttel n
mit Fleiß;absichtlich
eingehen;absterben
abspülen;abwaschen
Achter, der;Acht, die
Obacht geben, aufpassen;achtgeben
Obacht;Achtung
Feld;Acker
fesch, sauber;adrett
Pfriem;Ahle
Wanzenpresse;Akkordeon
Drud;Albdruck
allesamt;alle
oiss;alles
Werktag;Alltag
Werktaggewand;Alltagskleidung
;I geh doch ned mim Wertagwand in d Kirch!
Austrag;Altenteil
Austragshäusl;Altenruhesitz
in der Frühe;am Morgen
auf Ostern/Josefi;an Ostern/Josefi
dranbauen;anbauen (Haus)
aufschmalzen;anbräunen
aufreiben, aufdrehen;andrehen (Licht)
anlangen, antappen;anfassen
Protz, Dampfplauderer;Angeber
protzerisch;angeberisch
Bollen, Schiss;Angst
Bollenbruder, Schisser;Angsthase
lupfen;anheben
anschauen;ankucken
Annermirl;Anna-Maria
Scherzl, Scherzerl;Anschnitt
Geriss;Ansturm
Advokat;Anwalt
anlegen;anziehen
ankenten;anzünden
Glust, Guster;Appettit
Brotzeit;Arbeitspause
giften;ärgern (sich)
tratzen,;ärgern (jemanden)
notig;arm
Arschbacken, der;Arschbacke, die
Doktor;Arzt
Aschen, der;Asche, die
Schnauferer;Atem
aa;auch
aufschnaufen;aufatmen
aufgebrezelt, aufgemascherlt;aufgetakelt
Bapperl, Wapperl;Aufkleber
spitzen;aufmerken
Schmarrer, Dampfplauderer;Aufschneider
aufleinen;auftauen
Datschiburg;Augsburg
Datschiburger;Augsburger
stranseln;Ausrutschen
ausschauen;aussehen
papierln, ausschmieren, blitzen, pratzeln;austricksen
Butzerl, Wutzerl, Beberl, Kinderl;Baby
Kindsn;Babysitten
Bacherl;Bächlein
Teigbatzler, Bäck;Bäcker
bachen;backen
Stockzahn;Backenzahn
Schelle, Watsche, Fotze;Backpfeife
Ziegel;Backstein
boarisch;bairisch
Laube, Altane;Balkon
Bollen, Schiss;Bammel
auf die Gant gekommen;bankrott sein
bloßfüßig;barfuß
Wampe, Ranzen, Knödelfriedhof;Bauch
Wamperl;Bäuchlein
Bauchweh;Bauchschmerzen
Wammerl;Bauchspeck
Kopperl;Bäuerchen
schlankeln;baumeln
Zundl;Baumschwamm
Boar;Bayer
boarisch;bayerisch
nicht ohne;beachtlich
schicken, schleunen;beeilen
zudecken;bedecken
Leich;Beerdigung
anschaffen;befehlen
wassern;begießen
anfangen;beginnen
kapieren, schnallen;begreifen
Krickerlhalter, Tuttengeschirr;BH
Axt, die, Hacke, die;Beil, das
dazutun;beimengen
Fuß, Hax;Bein
Füße, Haxen;Beine
beieinander;beisammen
kriegen;bekommen
zerkriegen;bekriegen
anmalen;bemalen
gneißen;bemerken
traumhappert;benommen
brauchen;benötigen
lurren, passen;beobachten
Kofel;Berg, steil
Leite;Berghang
komod;bequem
herbringen, auftreiben;beschaffen
bescheißen, anschmieren, pratzeln;beschummeln
wohltan;besonders
eingraben;bestatten
pratzeln, bescheissen;betrügen
besoffen, angedudelt;betrunken
Liegerstatt;Bett
liegerhaft, - ig;bettlägerig
Binkel;Beule
Evangelibuch;Bibel
Imme;Biene
Marterl;Bildstock
Fatsche;Binde (Verband)
ein wenig;bisschen
bittschön;bitte
segne es Gott;bitte (antwort auf vergelts Gott)
hantig;bitter
Daubeere, Schwarzberre, Haidbeere;Blaubeere
Blattl;Blatt
Duckente;Blesshuhn
Geschau;Blick
spieglheiter;blitzblank
grad, sched;bloß
Blümerl;Blümchen
Karfiol;Blumenkohl
Scherben;Blumentopf
Gutti, Guttl;Bonbon
Fisolen;Bohnen, grüne
Schaff, Zuber;Bottisch
Reine, Reindl;Bräter
Geröstete;Bratkartoffel
Kranzeljungfer, Kranzlerin;Brautjungfer
Kranzler;Brautjunker
Mus;Brei
broad;breit
Breze;Brezel
Postbote, Postler/in;Briefträger
Augengläser;Brille
Vieraugerter;Brillenträger
